group	colour	yend	showSelected3
1	#FC8D62	-0.659053075151731	validation
2	#66C2A5	-0.659053075151731	subtrain
3	#66C2A5	-0.659053075151731	subtrain
4	#66C2A5	-0.466925730528553	subtrain
5	#FC8D62	-0.466925730528553	validation
6	#66C2A5	-0.708500649154134	subtrain
7	#66C2A5	-0.552802825300624	subtrain
8	#FC8D62	-0.552802825300624	validation
9	#FC8D62	-0.552802825300624	validation
10	#FC8D62	-0.552802825300624	validation
11	#FC8D62	-0.552802825300624	validation
12	#66C2A5	-0.552802825300624	subtrain
13	#FC8D62	-0.552802825300624	validation
14	#FC8D62	-0.552802825300624	validation
15	#66C2A5	-0.552802825300624	subtrain
16	#FC8D62	-0.552802825300624	validation
17	#FC8D62	-0.552802825300624	validation
18	#66C2A5	-0.552802825300624	subtrain
19	#FC8D62	-0.552802825300624	validation
20	#FC8D62	0.233320441970752	validation
21	#66C2A5	0.233320441970752	subtrain
22	#FC8D62	0.233320441970752	validation
23	#66C2A5	0.233320441970752	subtrain
24	#66C2A5	-0.0152918453642554	subtrain
25	#FC8D62	-0.0152918453642554	validation
26	#FC8D62	0.113486726031641	validation
27	#66C2A5	0.113486726031641	subtrain
28	#66C2A5	0.113486726031641	subtrain
29	#66C2A5	0.113486726031641	subtrain
30	#66C2A5	0.223923982810036	subtrain
31	#FC8D62	0.223923982810036	validation
32	#FC8D62	0.223923982810036	validation
33	#66C2A5	0.223923982810036	subtrain
34	#FC8D62	0.223923982810036	validation
35	#66C2A5	0.0459373685392217	subtrain
36	#FC8D62	0.0459373685392217	validation
37	#FC8D62	0.0459373685392217	validation
38	#FC8D62	0.276803380244154	validation
39	#66C2A5	0.276803380244154	subtrain
40	#66C2A5	0.276803380244154	subtrain
41	#66C2A5	-0.809829286817415	subtrain
42	#FC8D62	-0.809829286817415	validation
43	#66C2A5	-0.809829286817415	subtrain
44	#66C2A5	-0.809829286817415	subtrain
45	#66C2A5	-0.809829286817415	subtrain
46	#66C2A5	-0.809829286817415	subtrain
47	#FC8D62	-0.809829286817415	validation
48	#FC8D62	-0.809829286817415	validation
49	#FC8D62	-0.809829286817415	validation
50	#FC8D62	-0.809829286817415	validation
51	#FC8D62	-0.809829286817415	validation
52	#FC8D62	-0.809829286817415	validation
53	#66C2A5	-0.809829286817415	subtrain
54	#FC8D62	-0.809829286817415	validation
55	#66C2A5	-0.809829286817415	subtrain
56	#66C2A5	-0.809829286817415	subtrain
57	#FC8D62	-0.809829286817415	validation
58	#66C2A5	-0.809829286817415	subtrain
59	#66C2A5	-0.809829286817415	subtrain
60	#66C2A5	-0.809829286817415	subtrain
61	#66C2A5	1.83544257818827	subtrain
62	#FC8D62	1.83544257818827	validation
63	#66C2A5	1.59996989663385	subtrain
64	#66C2A5	1.59996989663385	subtrain
65	#FC8D62	1.59996989663385	validation
66	#66C2A5	1.59996989663385	subtrain
67	#FC8D62	1.59996989663385	validation
68	#FC8D62	1.59996989663385	validation
69	#FC8D62	1.59996989663385	validation
70	#FC8D62	1.59996989663385	validation
71	#66C2A5	1.59996989663385	subtrain
72	#66C2A5	1.59996989663385	subtrain
73	#FC8D62	1.59996989663385	validation
74	#FC8D62	1.59996989663385	validation
75	#FC8D62	1.59996989663385	validation
76	#66C2A5	1.59996989663385	subtrain
77	#FC8D62	1.59996989663385	validation
78	#66C2A5	1.59996989663385	subtrain
79	#FC8D62	1.59996989663385	validation
80	#66C2A5	1.59996989663385	subtrain
81	#FC8D62	1.59996989663385	validation
82	#FC8D62	1.59996989663385	validation
83	#FC8D62	0.177151091772384	validation
84	#66C2A5	0.177151091772384	subtrain
85	#66C2A5	0.354326057943459	subtrain
86	#66C2A5	0.354326057943459	subtrain
87	#FC8D62	0.354326057943459	validation
88	#66C2A5	0.354326057943459	subtrain
89	#66C2A5	0.354326057943459	subtrain
90	#FC8D62	0.354326057943459	validation
91	#FC8D62	0.44589070995871	validation
92	#66C2A5	0.44589070995871	subtrain
93	#66C2A5	0.44589070995871	subtrain
94	#66C2A5	0.44589070995871	subtrain
95	#66C2A5	0.44589070995871	subtrain
96	#FC8D62	0.44589070995871	validation
97	#FC8D62	0.277174469281551	validation
98	#66C2A5	0.277174469281551	subtrain
99	#FC8D62	0.277174469281551	validation
100	#66C2A5	0.277174469281551	subtrain
