group	fill	y	showSelected3
1	transparent	1.61234551148743	other
2	transparent	1.09473947685096	other
3	transparent	0.603438587425088	other
4	transparent	0.451355960913581	other
5	transparent	-0.375942116534735	other
6	transparent	-0.438992867476703	other
7	transparent	-0.494822780717917	other
8	transparent	-0.540175482453512	other
9	transparent	-0.599997925921153	other
10	transparent	-0.66231539017964	other
11	transparent	-0.709823133428023	other
12	transparent	-0.738825968330746	other
13	transparent	-0.769362652757034	other
14	transparent	-0.796382144165139	other
15	transparent	-0.82043545563558	other
16	transparent	-0.844602211531696	other
17	transparent	-0.86559655809397	other
18	transparent	-0.884435733246152	other
19	transparent	-0.945461873549445	other
20	transparent	-1.01423896962509	other
21	transparent	-1.06585387717898	other
22	transparent	-1.09372210308023	other
23	transparent	-1.21398947294866	other
24	transparent	-1.24764004945919	other
25	transparent	-1.28224721988445	other
26	transparent	-1.30853051848958	other
27	transparent	-1.36718602409162	other
28	transparent	-1.39541241750105	other
29	transparent	-1.42296645460379	other
30	transparent	-1.45102526387068	other
31	transparent	-1.50147752989155	other
32	transparent	-1.55747531720902	other
33	transparent	-1.60487767395806	other
34	transparent	-1.70677560653065	other
35	transparent	-1.76063312368665	other
36	transparent	-1.81884249714669	other
37	transparent	-2.19239774335201	other
38	transparent	-2.28682423784355	other
39	transparent	-2.38879217787569	other
40	transparent	-2.49754258176107	other
41	transparent	-2.65900545531775	other
42	transparent	-2.85456617844945	other
43	transparent	-3.07448569606252	other
44	transparent	-3.47902336914044	other
45	transparent	-4.00182098124395	other
46	transparent	-4.61244340890212	other
47	transparent	-4.88125098283173	other
48	transparent	-5.20243444484184	other
49	transparent	-5.66889590251282	other
50	#000000	-6.12390880005897	min
51	transparent	1.52649765853038	other
52	transparent	1.20302127637859	other
53	transparent	0.999646485741499	other
54	transparent	0.850246392465608	other
55	transparent	0.595141084241543	other
56	transparent	0.578754573972243	other
57	#000000	0.577695499678546	min
58	transparent	0.581647210399182	other
59	transparent	0.583596697170615	other
60	transparent	0.585027822081807	other
61	transparent	0.583263890501373	other
62	transparent	0.580548872544417	other
63	transparent	0.588095012998584	other
64	transparent	0.590007754874281	other
65	transparent	0.590007754874281	other
66	transparent	0.591185255767087	other
67	transparent	0.601823644136828	other
68	transparent	0.601386197249065	other
69	transparent	0.598319464730221	other
70	transparent	0.599611740036877	other
71	transparent	0.600130658752667	other
72	transparent	0.598566554527051	other
73	transparent	0.614141183722134	other
74	transparent	0.617959454107542	other
75	transparent	0.618167461535466	other
76	transparent	0.612486112215597	other
77	transparent	0.615778315922032	other
78	transparent	0.617292108303326	other
79	transparent	0.617439411628041	other
80	transparent	0.617620563031534	other
81	transparent	0.617267044162228	other
82	transparent	0.617924145398237	other
83	transparent	0.618565157202571	other
84	transparent	0.621465430372379	other
85	transparent	0.621465430372379	other
86	transparent	0.626385977690553	other
87	transparent	0.621467864688659	other
88	transparent	0.621196897775156	other
89	transparent	0.621043176405082	other
90	transparent	0.614386970976755	other
91	transparent	0.614300509954045	other
92	transparent	0.618157300221141	other
93	transparent	0.62149823738346	other
94	transparent	0.621445316631027	other
95	transparent	0.621850446132428	other
96	transparent	0.621850446132428	other
97	transparent	0.62182720198838	other
98	transparent	0.621893771483101	other
99	transparent	0.621893771483101	other
100	transparent	0.621893771483101	other
