group	colour	yend	showSelected3
1	#FC8D62	-0.608089478320124	validation
2	#66C2A5	-0.608089478320124	subtrain
3	#66C2A5	-0.710016671983337	subtrain
4	#FC8D62	-0.710016671983337	validation
5	#66C2A5	-0.593503033560797	subtrain
6	#66C2A5	-0.708500649154134	subtrain
7	#FC8D62	-0.708500649154134	validation
8	#FC8D62	-0.568875675576983	validation
9	#66C2A5	-0.568875675576983	subtrain
10	#66C2A5	-0.656992649457968	subtrain
11	#66C2A5	-0.475275693897248	subtrain
12	#66C2A5	-0.587469487101189	subtrain
13	#FC8D62	-0.587469487101189	validation
14	#FC8D62	-0.513960718928021	validation
15	#66C2A5	-0.513960718928021	subtrain
16	#66C2A5	-0.629510004348041	subtrain
17	#66C2A5	-0.629510004348041	subtrain
18	#66C2A5	-0.547821853175636	subtrain
19	#66C2A5	-0.547821853175636	subtrain
20	#66C2A5	-0.547821853175636	subtrain
21	#FC8D62	-0.547821853175636	validation
22	#FC8D62	0.191099822558602	validation
23	#66C2A5	0.191099822558602	subtrain
24	#66C2A5	-0.0152918453642545	subtrain
25	#FC8D62	-0.0152918453642545	validation
26	#FC8D62	-0.0152918453642545	validation
27	#FC8D62	-0.0152918453642545	validation
28	#FC8D62	-0.0152918453642545	validation
29	#FC8D62	-0.0152918453642545	validation
30	#FC8D62	0.137654073999428	validation
31	#FC8D62	0.137654073999428	validation
32	#FC8D62	0.137654073999428	validation
33	#FC8D62	0.137654073999428	validation
34	#66C2A5	0.137654073999428	subtrain
35	#66C2A5	0.137654073999428	subtrain
36	#66C2A5	0.137654073999428	subtrain
37	#66C2A5	0.137654073999428	subtrain
38	#66C2A5	0.137654073999428	subtrain
39	#FC8D62	0.137654073999428	validation
40	#FC8D62	0.137654073999428	validation
41	#FC8D62	0.137654073999428	validation
42	#FC8D62	-0.790739467905143	validation
43	#FC8D62	-0.790739467905143	validation
44	#66C2A5	-0.790739467905143	subtrain
45	#FC8D62	-0.790739467905143	validation
46	#FC8D62	-0.790739467905143	validation
47	#FC8D62	-0.790739467905143	validation
48	#FC8D62	-0.790739467905143	validation
49	#FC8D62	-0.790739467905143	validation
50	#FC8D62	-0.790739467905143	validation
51	#FC8D62	-0.790739467905143	validation
52	#FC8D62	-0.790739467905143	validation
53	#66C2A5	-0.790739467905143	subtrain
54	#66C2A5	-0.948564922018127	subtrain
55	#66C2A5	-0.692326242239943	subtrain
56	#FC8D62	-0.692326242239943	validation
57	#66C2A5	-0.906196417549199	subtrain
58	#66C2A5	-0.906196417549199	subtrain
59	#66C2A5	-0.778656649665805	subtrain
60	#FC8D62	-0.778656649665805	validation
61	#66C2A5	1.83544257818827	subtrain
62	#FC8D62	1.83544257818827	validation
63	#66C2A5	1.63920738523605	subtrain
64	#FC8D62	1.63920738523605	validation
65	#FC8D62	1.63920738523605	validation
66	#66C2A5	1.63920738523605	subtrain
67	#66C2A5	1.41478493924869	subtrain
68	#66C2A5	1.74183628829408	subtrain
69	#66C2A5	1.61060613595898	subtrain
70	#66C2A5	1.81254196917401	subtrain
71	#FC8D62	1.81254196917401	validation
72	#FC8D62	1.81254196917401	validation
73	#FC8D62	1.48589425054362	validation
74	#66C2A5	1.48589425054362	subtrain
75	#66C2A5	1.48589425054362	subtrain
76	#FC8D62	1.48589425054362	validation
77	#66C2A5	1.56089055321196	subtrain
78	#66C2A5	1.56089055321196	subtrain
79	#FC8D62	1.56089055321196	validation
80	#66C2A5	1.56089055321196	subtrain
81	#FC8D62	1.56089055321196	validation
82	#FC8D62	0.447316471472681	validation
83	#66C2A5	0.447316471472681	subtrain
84	#FC8D62	0.447316471472681	validation
85	#FC8D62	0.364656230871851	validation
86	#66C2A5	0.364656230871851	subtrain
87	#FC8D62	0.364656230871851	validation
88	#FC8D62	0.364656230871851	validation
89	#66C2A5	0.364656230871851	subtrain
90	#FC8D62	0.364656230871851	validation
91	#66C2A5	0.275255768716195	subtrain
92	#66C2A5	0.461344567689326	subtrain
93	#66C2A5	0.461344567689326	subtrain
94	#FC8D62	0.461344567689326	validation
95	#66C2A5	0.461344567689326	subtrain
96	#66C2A5	0.385356414371891	subtrain
97	#66C2A5	0.201848550969556	subtrain
98	#66C2A5	0.272181230391672	subtrain
99	#FC8D62	0.272181230391672	validation
100	#FC8D62	0.272181230391672	validation
