group	colour	yend	showSelected3
1	#66C2A5	-0.689099191816566	subtrain
2	#FC8D62	-0.689099191816566	validation
3	#FC8D62	-0.466925730528553	validation
4	#66C2A5	-0.466925730528553	subtrain
5	#FC8D62	-0.466925730528553	validation
6	#FC8D62	-0.577710905499484	validation
7	#66C2A5	-0.577710905499484	subtrain
8	#66C2A5	-0.552621340229411	subtrain
9	#FC8D62	-0.552621340229411	validation
10	#FC8D62	-0.552621340229411	validation
11	#FC8D62	-0.688577868796513	validation
12	#FC8D62	-0.688577868796513	validation
13	#66C2A5	-0.688577868796513	subtrain
14	#66C2A5	-0.847923799460082	subtrain
15	#FC8D62	-0.847923799460082	validation
16	#FC8D62	-0.847923799460082	validation
17	#FC8D62	-0.847923799460082	validation
18	#FC8D62	0.275541061382904	validation
19	#FC8D62	0.275541061382904	validation
20	#FC8D62	0.275541061382904	validation
21	#66C2A5	0.275541061382904	subtrain
22	#66C2A5	0.261856954295189	subtrain
23	#FC8D62	0.261856954295189	validation
24	#FC8D62	0.245625899011553	validation
25	#66C2A5	0.245625899011553	subtrain
26	#66C2A5	0.178030450269182	subtrain
27	#66C2A5	0.168063773551549	subtrain
28	#66C2A5	0.0365680858321547	subtrain
29	#66C2A5	0.13582831871122	subtrain
30	#66C2A5	0.225437480242053	subtrain
31	#66C2A5	0.319511279374987	subtrain
32	#66C2A5	0.173364551487783	subtrain
33	#66C2A5	0.222410485378019	subtrain
34	#FC8D62	0.222410485378019	validation
35	#FC8D62	0.222410485378019	validation
36	#FC8D62	0.222410485378019	validation
37	#FC8D62	0.29364586142047	validation
38	#FC8D62	0.29364586142047	validation
39	#66C2A5	0.29364586142047	subtrain
40	#66C2A5	0.259960899067837	subtrain
41	#66C2A5	-0.852080972035406	subtrain
42	#66C2A5	-0.860964780423698	subtrain
43	#66C2A5	-0.765932274869574	subtrain
44	#FC8D62	-0.765932274869574	validation
45	#66C2A5	-0.905441154985629	subtrain
46	#66C2A5	-0.905441154985629	subtrain
47	#66C2A5	-0.799170416196364	subtrain
48	#66C2A5	-0.758775319958506	subtrain
49	#66C2A5	-0.84686323362507	subtrain
50	#66C2A5	-0.747517839764626	subtrain
51	#66C2A5	-0.795818024373341	subtrain
52	#66C2A5	-0.896831251735124	subtrain
53	#FC8D62	-0.896831251735124	validation
54	#FC8D62	-0.896831251735124	validation
55	#FC8D62	-0.637588622559461	validation
56	#66C2A5	-0.637588622559461	subtrain
57	#FC8D62	-0.637588622559461	validation
58	#FC8D62	-0.637588622559461	validation
59	#FC8D62	-0.84913407279813	validation
60	#66C2A5	-0.84913407279813	subtrain
61	#FC8D62	-0.84913407279813	validation
62	#66C2A5	1.59135680186447	subtrain
63	#FC8D62	1.59135680186447	validation
64	#66C2A5	1.59808101801586	subtrain
65	#66C2A5	1.52095348124955	subtrain
66	#FC8D62	1.52095348124955	validation
67	#FC8D62	1.52095348124955	validation
68	#FC8D62	1.52095348124955	validation
69	#FC8D62	1.64283175502776	validation
70	#FC8D62	1.64283175502776	validation
71	#66C2A5	1.64283175502776	subtrain
72	#66C2A5	1.52428615904561	subtrain
73	#66C2A5	1.6563534374867	subtrain
74	#FC8D62	1.6563534374867	validation
75	#FC8D62	1.62442542568954	validation
76	#66C2A5	1.62442542568954	subtrain
77	#FC8D62	1.62442542568954	validation
78	#FC8D62	1.60271493455296	validation
79	#66C2A5	1.60271493455296	subtrain
80	#FC8D62	1.60271493455296	validation
81	#66C2A5	0.27264089853351	subtrain
82	#66C2A5	0.315989910302977	subtrain
83	#FC8D62	0.315989910302977	validation
84	#66C2A5	0.177151091772384	subtrain
85	#66C2A5	0.388902390578203	subtrain
86	#FC8D62	0.388902390578203	validation
87	#66C2A5	0.435817755542997	subtrain
88	#66C2A5	0.29908937945193	subtrain
89	#FC8D62	0.29908937945193	validation
90	#66C2A5	0.356217650892584	subtrain
91	#FC8D62	0.356217650892584	validation
92	#FC8D62	0.356217650892584	validation
93	#FC8D62	0.39952913676686	validation
94	#66C2A5	0.39952913676686	subtrain
95	#FC8D62	0.39952913676686	validation
96	#FC8D62	0.39952913676686	validation
97	#FC8D62	0.207046510325525	validation
98	#FC8D62	0.207046510325525	validation
99	#66C2A5	0.207046510325525	subtrain
100	#66C2A5	0.282167708171429	subtrain
