group	colour	yend	showSelected3
1	#FC8D62	-0.466925730528553	validation
2	#FC8D62	-0.466925730528553	validation
3	#FC8D62	-0.466925730528553	validation
4	#66C2A5	-0.466925730528553	subtrain
5	#66C2A5	-0.651001841357465	subtrain
6	#66C2A5	-0.651001841357465	subtrain
7	#66C2A5	-0.538604201356486	subtrain
8	#FC8D62	-0.538604201356486	validation
9	#FC8D62	-0.538604201356486	validation
10	#FC8D62	-0.538604201356486	validation
11	#66C2A5	-0.538604201356486	subtrain
12	#66C2A5	-0.538604201356486	subtrain
13	#FC8D62	-0.538604201356486	validation
14	#FC8D62	-0.538604201356486	validation
15	#66C2A5	-0.538604201356486	subtrain
16	#FC8D62	-0.538604201356486	validation
17	#FC8D62	-0.538604201356486	validation
18	#FC8D62	-0.538604201356486	validation
19	#FC8D62	0.275541061382904	validation
20	#FC8D62	0.275541061382904	validation
21	#66C2A5	0.275541061382904	subtrain
22	#FC8D62	0.275541061382904	validation
23	#66C2A5	0.0879039885971731	subtrain
24	#66C2A5	0.0879039885971731	subtrain
25	#66C2A5	0.155570604208946	subtrain
26	#66C2A5	0.155570604208946	subtrain
27	#66C2A5	0.155570604208946	subtrain
28	#FC8D62	0.155570604208946	validation
29	#66C2A5	0.155570604208946	subtrain
30	#FC8D62	0.155570604208946	validation
31	#FC8D62	0.155570604208946	validation
32	#66C2A5	0.155570604208946	subtrain
33	#FC8D62	0.155570604208946	validation
34	#FC8D62	0.155570604208946	validation
35	#66C2A5	0.155570604208946	subtrain
36	#66C2A5	0.155570604208946	subtrain
37	#FC8D62	0.155570604208946	validation
38	#FC8D62	0.293645861420471	validation
39	#66C2A5	0.293645861420471	subtrain
40	#FC8D62	0.293645861420471	validation
41	#66C2A5	-0.80900662345249	subtrain
42	#FC8D62	-0.80900662345249	validation
43	#66C2A5	-0.80900662345249	subtrain
44	#FC8D62	-0.80900662345249	validation
45	#66C2A5	-0.905441154985629	subtrain
46	#66C2A5	-0.905441154985629	subtrain
47	#66C2A5	-0.790768690562434	subtrain
48	#66C2A5	-0.790768690562434	subtrain
49	#66C2A5	-0.790768690562434	subtrain
50	#66C2A5	-0.790768690562434	subtrain
51	#FC8D62	-0.790768690562434	validation
52	#FC8D62	-0.790768690562434	validation
53	#66C2A5	-0.790768690562434	subtrain
54	#66C2A5	-0.948564922018127	subtrain
55	#66C2A5	-0.664957432399702	subtrain
56	#66C2A5	-0.664957432399702	subtrain
57	#FC8D62	-0.664957432399702	validation
58	#66C2A5	-0.940042075041701	subtrain
59	#FC8D62	-0.940042075041701	validation
60	#FC8D62	-0.940042075041701	validation
61	#FC8D62	1.66577070344848	validation
62	#FC8D62	1.66577070344848	validation
63	#66C2A5	1.66577070344848	subtrain
64	#FC8D62	1.66577070344848	validation
65	#FC8D62	1.66577070344848	validation
66	#66C2A5	1.66577070344848	subtrain
67	#FC8D62	1.66577070344848	validation
68	#66C2A5	1.66577070344848	subtrain
69	#FC8D62	1.66577070344848	validation
70	#FC8D62	1.66577070344848	validation
71	#66C2A5	1.66577070344848	subtrain
72	#FC8D62	1.66577070344848	validation
73	#FC8D62	1.54613567465231	validation
74	#66C2A5	1.54613567465231	subtrain
75	#FC8D62	1.54613567465231	validation
76	#FC8D62	1.54613567465231	validation
77	#66C2A5	1.54613567465231	subtrain
78	#66C2A5	1.54613567465231	subtrain
79	#FC8D62	1.54613567465231	validation
80	#66C2A5	1.54613567465231	subtrain
81	#66C2A5	0.294315404418244	subtrain
82	#66C2A5	0.294315404418244	subtrain
83	#FC8D62	0.294315404418244	validation
84	#66C2A5	0.177151091772384	subtrain
85	#66C2A5	0.397518221910457	subtrain
86	#FC8D62	0.397518221910457	validation
87	#66C2A5	0.397518221910457	subtrain
88	#FC8D62	0.397518221910457	validation
89	#66C2A5	0.397518221910457	subtrain
90	#66C2A5	0.397518221910457	subtrain
91	#FC8D62	0.397518221910457	validation
92	#66C2A5	0.397518221910457	subtrain
93	#FC8D62	0.397518221910457	validation
94	#66C2A5	0.397518221910457	subtrain
95	#FC8D62	0.397518221910457	validation
96	#66C2A5	0.397518221910457	subtrain
97	#FC8D62	0.397518221910457	validation
98	#66C2A5	0.272181230391672	subtrain
99	#FC8D62	0.272181230391672	validation
100	#FC8D62	0.272181230391672	validation
