xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
0.5	1.5	1	segments	1	segments	1	1	1
1.5	2.5	2 1	segments	2	segments	1	1	541
2.5	3.5	3 1	segments	3	segments	1	1	1080
3.5	4.5	4 1	segments	4	segments	1	1	1619
4.5	5.5	5 1	segments	5	segments	1	1	2158
5.5	6.5	6 1	segments	6	segments	1	1	2256
6.5	7.5	7 1	segments	7	segments	1	1	2305
7.5	8.5	8 1	segments	8	segments	1	1	2354
8.5	9.5	9 1	segments	9	segments	1	1	2403
9.5	10.5	10 1	segments	10	segments	1	1	51
10.5	11.5	11 1	segments	11	segments	1	1	100
11.5	12.5	12 1	segments	12	segments	1	1	149
12.5	13.5	13 1	segments	13	segments	1	1	198
13.5	14.5	14 1	segments	14	segments	1	1	247
14.5	15.5	15 1	segments	15	segments	1	1	296
15.5	16.5	16 1	segments	16	segments	1	1	345
16.5	17.5	17 1	segments	17	segments	1	1	394
17.5	18.5	18 1	segments	18	segments	1	1	443
18.5	19.5	19 1	segments	19	segments	1	1	492
19.5	20.5	20 1	segments	20	segments	1	1	590
20.5	21.5	21 1	segments	21	segments	1	1	639
21.5	22.5	22 1	segments	22	segments	1	1	688
22.5	23.5	23 1	segments	23	segments	1	1	737
23.5	24.5	24 1	segments	24	segments	1	1	786
24.5	25.5	25 1	segments	25	segments	1	1	835
25.5	26.5	26 1	segments	26	segments	1	1	884
26.5	27.5	27 1	segments	27	segments	1	1	933
27.5	28.5	28 1	segments	28	segments	1	1	982
28.5	29.5	29 1	segments	29	segments	1	1	1031
29.5	30.5	30 1	segments	30	segments	1	1	1129
30.5	31.5	31 1	segments	31	segments	1	1	1178
31.5	32.5	32 1	segments	32	segments	1	1	1227
32.5	33.5	33 1	segments	33	segments	1	1	1276
33.5	34.5	34 1	segments	34	segments	1	1	1325
34.5	35.5	35 1	segments	35	segments	1	1	1374
35.5	36.5	36 1	segments	36	segments	1	1	1423
36.5	37.5	37 1	segments	37	segments	1	1	1472
37.5	38.5	38 1	segments	38	segments	1	1	1521
38.5	39.5	39 1	segments	39	segments	1	1	1570
39.5	40.5	40 1	segments	40	segments	1	1	1668
40.5	41.5	41 1	segments	41	segments	1	1	1717
41.5	42.5	42 1	segments	42	segments	1	1	1766
