group	fill	y	showSelected3
1	transparent	1.52031172965403	other
2	transparent	1.13467087698094	other
3	transparent	0.799231505962723	other
4	transparent	0.415971252578082	other
5	transparent	-0.463718843565255	other
6	transparent	-0.510299530872949	other
7	transparent	-0.552545198354996	other
8	transparent	-0.580917080089375	other
9	transparent	-0.609658993310598	other
10	transparent	-0.702180852479926	other
11	transparent	-0.739636434979123	other
12	transparent	-0.776460492974112	other
13	transparent	-0.813690526991668	other
14	transparent	-0.843570835073278	other
15	transparent	-0.897854269017862	other
16	transparent	-0.932921344922045	other
17	transparent	-0.96898570313691	other
18	transparent	-1.00766378950784	other
19	transparent	-1.04034676190262	other
20	transparent	-1.15596086045746	other
21	transparent	-1.22746630648976	other
22	transparent	-1.27887657642907	other
23	transparent	-1.32547737486643	other
24	transparent	-1.37023067066193	other
25	transparent	-1.40977693966214	other
26	transparent	-1.4424679911787	other
27	transparent	-1.50582990962195	other
28	transparent	-1.54380656499693	other
29	transparent	-1.57594326772977	other
30	transparent	-1.64291449632433	other
31	transparent	-1.69780582308509	other
32	transparent	-1.73152544403663	other
33	transparent	-1.76193278147865	other
34	transparent	-1.78938812921637	other
35	transparent	-1.86517507388052	other
36	transparent	-1.94274812566711	other
37	transparent	-1.986800856298	other
38	transparent	-2.02830589586999	other
39	transparent	-2.07241961095473	other
40	transparent	-2.12629307695587	other
41	transparent	-2.18070075427812	other
42	transparent	-2.4530198089242	other
43	transparent	-2.68495112555496	other
44	transparent	-2.90318356087835	other
45	transparent	-3.04129126768399	other
46	transparent	-3.68863009484293	other
47	transparent	-3.98135852875905	other
48	transparent	-4.28884124190847	other
49	transparent	-5.75551573712554	other
50	#000000	-6.12390880005897	min
51	transparent	1.61801051174328	other
52	transparent	1.16757018304862	other
53	transparent	0.755887112327424	other
54	transparent	0.681863131772271	other
55	#000000	0.189000143188228	min
56	transparent	0.203206555138618	other
57	transparent	0.210565760818202	other
58	transparent	0.204140180025325	other
59	transparent	0.21354489180028	other
60	transparent	0.222817909399089	other
61	transparent	0.309626245391491	other
62	transparent	0.309772070313765	other
63	transparent	0.303807257771156	other
64	transparent	0.318601799221941	other
65	transparent	0.328601823855226	other
66	transparent	0.330131912228472	other
67	transparent	0.329636105499808	other
68	transparent	0.326887663865357	other
69	transparent	0.325420202123428	other
70	transparent	0.325420202123428	other
71	transparent	0.325922578784709	other
72	transparent	0.325922578784709	other
73	transparent	0.326699651058168	other
74	transparent	0.328314374804675	other
75	transparent	0.327647547217035	other
76	transparent	0.325340001336151	other
77	transparent	0.327532778049204	other
78	transparent	0.328223579821943	other
79	transparent	0.332333344835094	other
80	transparent	0.329031121071262	other
81	transparent	0.334831420031136	other
82	transparent	0.337255635004874	other
83	transparent	0.333362213347281	other
84	transparent	0.332781658300021	other
85	transparent	0.333177478319702	other
86	transparent	0.332062293668115	other
87	transparent	0.332888325191727	other
88	transparent	0.331642988530013	other
89	transparent	0.33118009369449	other
90	transparent	0.331575408036237	other
91	transparent	0.332412468530028	other
92	transparent	0.332412468530028	other
93	transparent	0.33160435416526	other
94	transparent	0.33160435416526	other
95	transparent	0.333175820668683	other
96	transparent	0.332162345559829	other
97	transparent	0.331361629803355	other
98	transparent	0.33118749825186	other
99	transparent	0.330916886717667	other
100	transparent	0.330916886717667	other
